"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RNASEH1-DT",21.4911316838485,-0.201667150926824,0.192607280778198,-1.04703804608019,0.295082031203441,0.474289733688339
"PIGO-AS1",1.84257432436822,-0.0603687927295633,0.546458783204838,-0.110472728383129,0.912034477064619,0.949937050654143
"LINC01781",10.1369868315676,-0.0879459560703521,0.392972353099458,-0.223796802438399,0.822915418154545,0.896564163713066
"ACSL3-AS1",15.4992123504556,0.15885058453542,0.190981578695939,0.831758673376167,0.40554517501131,0.579587556020632
"LINC01191",7.79964841247863,0.59649783588044,0.238791621340452,2.49798478075576,0.012490155600566,0.046272090809724
"H3P3",6.9357102843305,0.334414192904605,0.320571367428863,1.04318172763453,0.296864134554349,0.476123923284409
"CDCA4P4",45.1124599452073,-0.0499331854239547,0.142634637456455,-0.350077556997324,0.726280493409636,0.832907729195074
"LIX1L-AS1",48.0167977497295,-0.224884789076215,0.142638986350258,-1.57660114412197,0.114887329343889,0.243889633231854
"ZFX-AS1",6.71823487343777,-0.472452999531451,0.320505730907798,-1.47408596468238,0.140458446975004,0.281992004905531
"ANAPC1P4",5.37090919128896,0.0676311904313829,0.370179037949395,0.182698595809275,0.85503451759882,0.91576549604148
"PDE4DIPP7",3.67471954042893,1.03562075631734,0.416100146804487,2.48887380663182,0.0128148442704595,0.0472160374176226
"MAP3K5-AS1",71.0313385061898,-0.0115542419497351,0.126922037013612,-0.0910341672856698,0.927465442193122,0.95851692858914
"RPS27P19",40.2045903389645,-0.176483117401014,0.159807266690076,-1.10434976491575,0.269441443160496,0.446959915941499
"RPL36P20",2.87219695139002,-1.53648450673258,0.476498822564566,-3.22452949298607,0.00126179858738338,0.0076444877322453
"RPL30P2",9.1904413617907,0.693016805450908,0.204073258192831,3.39592169786435,0.000683979233345007,0.00470450232540885
"COX7BP2",12.1212344856884,-0.124791272618697,0.230638307172078,-0.541069149131377,0.588459921640843,0.733161290691673
"LANCL1-AS1",45.4072450573458,0.0431361720660903,0.137318180530817,0.31413300044716,0.753420026469159,0.852400332589752
"ZNF879",113.411652292144,0.220758529950382,0.124407337555509,1.77448158837,0.0759835249045573,0.17981179853069
"GAPDHP49",3.22631354498428,0.492544541239257,0.351813865978034,1.40001457836232,0.161508952949604,0.312372368626005
"RPS27P4",6.94483629117195,-0.0904513257061528,0.239800676536373,-0.377193788660697,0.70602959591307,0.819425570425989
"H2BC12L",1.62331826228253,0.348316266733093,0.595217631953549,0.585191446009241,0.558418995930641,0.710574826672421
"BACH1-IT3",42.9917193634394,0.739942167487966,0.217003667289358,3.40981411388458,0.000650071704167861,0.00452020991823444
"CLYBL-AS1",5.45526071466555,-0.577041197587017,0.328623901316566,-1.75593191875337,0.0791000340763141,0.185263993562791
"LINC01878",7.6105293547344,0.152003497295733,0.354909494251488,0.428288055850158,0.668441413796039,0.792653530454224
"LINC03068",4.48668941233889,-0.124247457212889,0.300265398683998,-0.413792124425393,0.679026352184344,0.800236378613156
"LINC01505",16.7419151693897,-0.791191380603456,0.308409865287984,-2.56538933949038,0.0103060089628968,0.0398667519565911
"RPL9P2",7.150149510123,-0.323620230479377,0.267142283953744,-1.21141522670897,0.225736306540095,0.394584459314203
"MRPS10P2",12.8123246033107,-0.110503869195685,0.253060431522683,-0.436669883674722,0.662350773311082,0.788574791014766
"ZNF232-AS1",12.7596086810605,-0.278162364472584,0.18545886129059,-1.49986019830425,0.133650619893909,0.272146650890171
